Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2023/1/3,7:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.1,22.8,87,101100,0,0,427,0,0,0,0,0,0,0,70,2.1,9,9,10,9144,9,'999999999,459,0,0,88,999,0,1
2023/1/3,8:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.1,23.1,84,101200,129,1296,433,44,97,35,4743,0,3801,151,20,1.5,9,9,12,9000,9,'999999999,469,0,0,88,999,0,1
2023/1/3,9:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.8,23.3,77,101300,439,1411,443,218,290,128,23771,12844,14005,620,350,1.5,9,9,10,3810,9,'999999999,469,0,0,88,999,0,1
2023/1/3,10:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.6,23.1,72,101300,735,1411,448,411,358,225,45663,23584,25109,1203,10,2.6,9,9,10,5791,9,'999999999,469,0,0,88,999,0,1
2023/1/3,11:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29.8,23,67,101300,981,1411,455,624,523,260,71371,34629,29962,1481,30,3.1,9,9,14,9000,9,'999999999,459,0,0,88,999,0,1
2023/1/3,12:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,30.5,22.6,63,101300,1159,1411,459,711,373,405,80634,29167,46240,2352,20,2.6,9,9,10,9144,9,'999999999,450,0,0,88,999,0,1
2023/1/3,13:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,31.7,23.9,63,101200,1258,1411,468,819,479,391,94145,34513,45329,2250,50,3.1,9,9,10,5029,9,'999999999,490,0,0,88,999,0,1
2023/1/3,14:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29.3,24.3,75,101000,1270,1411,454,623,271,379,71842,18908,44032,2171,60,3.6,9,9,10,701,9,'999999999,509,0,0,88,999,6,1
2023/1/3,15:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.5,23.9,81,100900,1195,1411,442,542,181,388,61813,13315,44620,2253,80,1.5,9,9,8,503,9,'999999999,490,0,0,88,999,0,1
2023/1/3,16:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.9,23.6,73,100900,1038,1411,450,572,247,390,63764,19555,43823,2240,50,5.1,9,9,10,868,9,'999999999,480,0,0,88,999,0,1
2023/1/3,17:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.8,23.3,72,100800,809,1411,449,470,389,247,52464,26331,27739,1349,50,4.1,9,9,14,3048,9,'999999999,469,0,0,88,999,0,1
2023/1/3,18:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.8,22.9,70,100900,524,1411,449,261,263,163,28492,14603,17929,817,50,3.1,9,9,10,4877,9,'999999999,459,0,0,88,999,8,1
2023/1/3,19:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.9,23.7,78,101000,206,1411,445,84,162,60,9041,0,6519,268,60,3.6,9,9,10,7010,9,'999999999,490,0,0,88,999,0,1
2023/1/3,20:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.2,22.9,77,101100,3,174,439,0,0,0,48,5,75,2,50,3.1,9,9,12,9000,9,'999999999,459,0,0,88,999,0,1
2023/1/3,21:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.7,23,80,101200,0,0,437,0,0,0,0,0,0,0,50,2.6,9,9,10,7010,9,'999999999,459,0,0,88,999,0,1
2023/1/3,22:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.6,23,81,101200,0,0,436,0,0,0,0,0,0,0,50,2.1,9,9,10,4877,9,'999999999,459,0,0,88,999,0,1
2023/1/3,23:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.4,23.3,83,101300,0,0,435,0,0,0,0,0,0,0,30,2.1,9,9,12,4800,9,'999999999,469,0,0,88,999,0,1
2023/1/3,0:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.1,22.7,82,101300,0,0,433,0,0,0,0,0,0,0,30,2.1,9,9,10,4877,9,'999999999,450,0,0,88,999,0,1
